Name,Pclass,Survived,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Fare
Mrs. Charles Alexander (Alice Adelaide Slow) Louch,2,1,female,42,1,0,26
Mr. Nikolai Erland Kallio,3,0,male,17,0,0,7.125
Mr. William Baird Silvey,1,0,male,50,1,0,55.9
Miss. Lucile Polk Carter,1,1,female,14,1,2,120
Miss. Doolina Margaret Ford,3,0,female,21,2,2,34.375
Mrs. Sidney (Emily Hocking) Richards,2,1,female,24,2,3,18.75
Mr. Mark Fortune,1,0,male,64,1,4,263
Mr. Johan Henrik Johannesson Kvillner,2,0,male,31,0,0,10.5
Mrs. Benjamin (Esther Ada Bloomfield) Hart,2,1,female,45,1,1,26.25
Mr. Leon Hampe,3,0,male,20,0,0,9.5
Mr. Johan Emil Petterson,3,0,male,25,1,0,7.775
Ms. Encarnacion Reynaldo,2,1,female,28,0,0,13
Mr. Bernt Johannesen-Bratthammer,3,1,male,29,0,0,8.1125
Master. Washington Dodge,1,1,male,4,0,2,81.8583
Miss. Madeleine Violet Mellinger,2,1,female,13,0,1,19.5
Mr. Frederic Kimber Seward,1,1,male,34,0,0,26.55
Miss. Marie Catherine Baclini,3,1,female,5,2,1,19.2583
Major. Arthur Godfrey Peuchen,1,1,male,52,0,0,30.5
Mr. Edwy Arthur West,2,0,male,36,1,2,27.75
Mr. Ingvald Olai Olsen Hagland,3,0,male,28,1,0,19.9667
Mr. Benjamin Laventall Foreman,1,0,male,30,0,0,27.75
Mr. Samuel L Goldenberg,1,1,male,49,1,0,89.1042
Mr. Joseph Peduzzi,3,0,male,24,0,0,8.05
Mr. Ivan Jalsevac,3,1,male,29,0,0,7.8958
Mr. Francis Davis Millet,1,0,male,65,0,0,26.55
Mrs. Frederick R (Marion) Kenyon,1,1,female,41,1,0,51.8625
Miss. Ellen Toomey,2,1,female,50,0,0,10.5
Mr. Maurice O'Connor,3,0,male,17,0,0,7.75
Mr. Harry Anderson,1,1,male,48,0,0,26.55
Mr. William Morley,3,0,male,34,0,0,8.05
Mr. Arthur H Gee,1,0,male,47,0,0,38.5
Mr. Jacob Christian Milling,2,0,male,48,0,0,13
Mr. Simon Maisner,3,0,male,34,0,0,8.05
Mr. Manuel Estanslas Goncalves,3,0,male,38,0,0,7.05
Mr. William Campbell,2,0,male,21,0,0,0
Mr. John Montgomery Smart,1,0,male,56,0,0,26.55
Mr. James Scanlan,3,0,male,22,0,0,7.725
Miss. Helene Barbara Baclini,3,1,female,0.75,2,1,19.2583
Mr. Arthur Keefe,3,0,male,39,0,0,7.25
Mr. Luka Cacic,3,0,male,38,0,0,8.6625
Mrs. Edwy Arthur (Ada Mary Worth) West,2,1,female,33,1,2,27.75
Mrs. Amin S (Marie Marthe Thuillard) Jerwan,2,1,female,23,0,0,13.7917
Miss. Ida Sofia Strandberg,3,0,female,22,0,0,9.8375
Mr. George Quincy Clifford,1,0,male,40,0,0,52
Mr. Peter Henry Renouf,2,0,male,34,1,0,21
Mr. Lewis Richard Braund,3,0,male,29,1,0,7.0458
Mr. Nils August Karlsson,3,0,male,22,0,0,7.5208
Miss. Hildur E Hirvonen,3,1,female,2,0,1,12.2875
Master. Harold Victor Goodwin,3,0,male,9,5,2,46.9
Mr. Anthony Wood Frost,2,0,male,37,0,0,0
Mr. Richard Henry Rouse,3,0,male,50,0,0,8.05
Mrs. (Hedwig) Turkula,3,1,female,63,0,0,9.5875
Mr. Dickinson H Bishop,1,1,male,25,1,0,91.0792
Miss. Jeannie Lefebre,3,0,female,8,3,1,25.4667
Mrs. Frederick Maxfield (Jane Anne Forby) Hoyt,1,1,female,35,1,0,90
Mr. Edward Austin Kent,1,0,male,58,0,0,29.7
Mr. Francis William Somerton,3,0,male,30,0,0,8.05
Master. Eden Leslie Coutts,3,1,male,9,1,1,15.9
Mr. Konrad Mathias Reiersen Hagland,3,0,male,19,1,0,19.9667
Mr. Einar Windelov,3,0,male,21,0,0,7.25
Mr. Harry Markland Molson,1,0,male,55,0,0,30.5
Mr. Ramon Artagaveytia,1,0,male,71,0,0,49.5042
Mr. Edward Roland Stanley,3,0,male,21,0,0,8.05
Mr. Gerious Yousseff,3,0,male,26,0,0,14.4583
Miss. Elizabeth Mussey Eustis,1,1,female,54,1,0,78.2667
Mr. Frederick William Shellard,3,0,male,55,0,0,15.1
Mrs. Hudson J C (Bessie Waldo Daniels) Allison,1,0,female,25,1,2,151.55
Mr. Olof Svensson,3,0,male,24,0,0,7.7958
Mr. Petar Calic,3,0,male,17,0,0,8.6625
Miss. Mary Canavan,3,0,female,21,0,0,7.75
Miss. Bridget Mary O'Sullivan,3,0,female,21,0,0,7.6292
Miss. Kristina Sofia Laitinen,3,0,female,37,0,0,9.5875
Miss. Roberta Maioni,1,1,female,16,0,0,86.5
Mr. Victor de Satode Penasco y Castellana,1,0,male,18,1,0,108.9
Mrs. Frederick Charles (Jane Richards) Quick,2,1,female,33,0,2,26
Mr. George Bradley,1,1,male,37,0,0,26.55
Mr. Henry Margido Olsen,3,0,male,28,0,0,22.525
Mr. Fang Lang,3,1,male,26,0,0,56.4958
Mr. Eugene Patrick Daly,3,1,male,29,0,0,7.75
Mr. James Webber,3,0,male,66,0,0,8.05
Mr. James Robert McGough,1,1,male,36,0,0,26.2875
Mrs. Martin (Elizabeth L. Barrett) Rothschild,1,1,female,54,1,0,59.4
Mr. Satio Coleff,3,0,male,24,0,0,7.4958
Mr. William Anderson Walker,1,0,male,47,0,0,34.0208
Mrs. (Amelia Milley) Lemore,2,1,female,34,0,0,10.5
Mr. Patrick Ryan,3,0,male,30,0,0,24.15
Mrs. William A (Florence Agnes Hughes) Angle,2,1,female,36,1,0,26
Mr. Stefo Pavlovic,3,0,male,32,0,0,7.8958
Miss. Anne Perreault,1,1,female,30,0,0,93.5
Mr. Janko Vovk,3,0,male,22,0,0,7.8958
Mr. Sarkis Lahoud,3,0,male,35,0,0,7.225
Mrs. Louis Albert (Ida Sophia Fischer) Hippach,1,1,female,44,0,1,57.9792
Mr. Fared Kassem,3,0,male,18,0,0,7.2292
Mr. James Farrell,3,0,male,40.5,0,0,7.75
Miss. Lucy Ridsdale,2,1,female,50,0,0,10.5
Mr. John Farthing,1,0,male,49,0,0,221.7792
Mr. Johan Werner Salonen,3,0,male,39,0,0,7.925
Mr. Richard George Hocking,2,0,male,23,2,1,11.5
Miss. Phyllis May Quick,2,1,female,2,1,1,26
Mr. Nakli Toufik,3,0,male,17,0,0,7.2292
Mr. Joseph Jr Elias,3,0,male,17,1,1,7.2292
Mrs. Catherine (Catherine Rizk) Peter,3,1,female,24,0,2,22.3583
Miss. Marija Cacic,3,0,female,30,0,0,8.6625
Miss. Eva Miriam Hart,2,1,female,7,0,2,26.25
Major. Archibald Willingham Butt,1,0,male,45,0,0,26.55
Miss. Bertha LeRoy,1,1,female,30,0,0,106.425
Mr. Samuel Beard Risien,3,0,male,69,0,0,14.5
Miss. Hedwig Margaritha Frolicher,1,1,female,22,0,2,49.5
Miss. Harriet R Crosby,1,1,female,36,0,2,71
Miss. Ingeborg Constanzia Andersson,3,0,female,9,4,2,31.275
Miss. Sigrid Elisabeth Andersson,3,0,female,11,4,2,31.275
Mr. Edward Beane,2,1,male,32,1,0,26
Mr. Walter Donald Douglas,1,0,male,50,1,0,106.425
Mr. Arthur Ernest Nicholson,1,0,male,64,0,0,26
Mrs. Edward (Ethel Clarke) Beane,2,1,female,19,1,0,26
Mr. Julian Padro y Manent,2,1,male,27,0,0,13.8625
Mr. Frank John Goldsmith,3,0,male,33,1,1,20.525
Master. John Morgan Jr Davies,2,1,male,8,1,1,36.75
Mr. John Borland Jr Thayer,1,1,male,17,0,2,110.8833
Mr. Percival James R Sharp,2,0,male,27,0,0,26
Mr. Timothy O'Brien,3,0,male,21,0,0,7.8292
Mr. Fahim Leeni,3,1,male,22,0,0,7.225
Miss. Velin Ohman,3,1,female,22,0,0,7.775
Mr. George Wright,1,0,male,62,0,0,26.55
Lady. (Lucille Christiana Sutherland)Duff Gordon,1,1,female,48,1,0,39.6
Mr. Victor Robbins,1,0,male,45,0,0,227.525
Mrs. Emil (Tillie Mandelbaum) Taussig,1,1,female,39,1,1,79.65
Mrs. Guillaume Joseph (Emma) de Messemaeker,3,1,female,36,1,0,17.4
Mr. Thomas Rowan Morrow,3,0,male,30,0,0,7.75
Mr. Husein Sivic,3,0,male,40,0,0,7.8958
Mr. Robert Douglas Norman,2,0,male,28,0,0,13.5
Mr. John Simmons,3,0,male,40,0,0,8.05
Miss. (Marion Ogden) Meanwell,3,0,female,62,0,0,8.05
Mr. Alfred J Davies,3,0,male,24,2,0,24.15
Mr. Ilia Stoytcheff,3,0,male,19,0,0,7.8958
Mrs. Nils (Alma Cornelia Berglund) Palsson,3,0,female,29,0,4,21.075
Mr. Tannous Doharr,3,0,male,28,0,0,7.2292
Mr. Carl Jonsson,3,1,male,32,0,0,7.8542
Mr. George Harris,2,1,male,62,0,0,10.5
Mrs. Edward Dale (Charlotte Lamson) Appleton,1,1,female,53,2,0,51.4792
Mr. John Irwin Flynn,1,1,male,36,0,0,26.3875
Miss. Mary Kelly,3,1,female,22,0,0,7.75
Mr. Alfred George John Rush,3,0,male,16,0,0,8.05
Mr. George Patchett,3,0,male,19,0,0,14.5
Miss. Ethel Garside,2,1,female,34,0,0,13
Mrs. William Baird (Alice Munger) Silvey,1,1,female,39,1,0,55.9
Mrs. Joseph (Maria Elias) Caram,3,0,female,18,1,0,14.4583
Mr. Eiriik Jussila,3,1,male,32,0,0,7.925
Miss. Julie Rachel Christy,2,1,female,25,1,1,30
Mrs. John Borland (Marian Longstreth Morris) Thayer,1,1,female,39,1,1,110.8833
Mr. William James Downton,2,0,male,54,0,0,26
Mr. John Hugo Ross,1,0,male,36,0,0,40.125
Mr. Uscher Paulner,3,0,male,16,0,0,8.7125
Miss. Ruth Taussig,1,1,female,18,0,2,79.65
Mr. John Denzil Jarvis,2,0,male,47,0,0,15
Mr. Maxmillian Frolicher-Stehli,1,1,male,60,1,1,79.2
Mr. Eliezer Gilinski,3,0,male,22,0,0,8.05
Mr. Joseph Murdlin,3,0,male,22,0,0,8.05
Mr. Matti Rintamaki,3,0,male,35,0,0,7.125
Mrs. Walter Bertram (Martha Eustis) Stephenson,1,1,female,52,1,0,78.2667
Mr. William James Elsbury,3,0,male,47,0,0,7.25
Miss. Mary Bourke,3,0,female,40,0,2,7.75
Mr. John Henry Chapman,2,0,male,37,1,0,26
Mr. Jean Baptiste Van Impe,3,0,male,36,1,1,24.15
Miss. Jessie Wills Leitch,2,1,female,31,0,0,33
Mr. Alfred Johnson,3,0,male,49,0,0,0
Mr. Hanna Boulos,3,0,male,18,0,0,7.225
Sir. Cosmo Edmund Duff Gordon,1,1,male,49,1,0,56.9292
Mrs. Sidney Samuel (Amy Frances Christy) Jacobsohn,2,1,female,24,2,1,27
Mr. Petco Slabenoff,3,0,male,42,0,0,7.8958
Mr. Charles H Harrington,1,0,male,37,0,0,42.4
Mr. Ernst William Torber,3,0,male,44,0,0,8.05
Mr. Harry Homer,1,1,male,35,0,0,26.55
Mr. Edvard Bengtsson Lindell,3,0,male,36,1,0,15.55
Mr. Milan Karaic,3,0,male,30,0,0,7.8958
Mr. Robert Williams Daniel,1,1,male,27,0,0,30.5
Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche,2,1,female,22,1,2,41.5792
Miss. Elizabeth W Shutes,1,1,female,40,0,0,153.4625
Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson,3,0,female,39,1,5,31.275
Mr. Jose Neto Jardin,3,0,male,21,0,0,7.05
Miss. Margaret Jane Murphy,3,1,female,18,1,0,15.5
Mr. John Horgan,3,0,male,22,0,0,7.75
Mr. William Alfred Brocklebank,3,0,male,35,0,0,8.05
Miss. Alice Herman,2,1,female,24,1,2,65
Mr. Ernst Gilbert Danbom,3,0,male,34,1,1,14.4
Mrs. William Arthur (Cordelia K Stanlick) Lobb,3,0,female,26,1,0,16.1
Miss. Marion Louise Becker,2,1,female,4,2,1,39
Mr. Lawrence Gavey,2,0,male,26,0,0,10.5
Mr. Antoni Yasbeck,3,0,male,27,1,0,14.4542
Mr. Edwin Nelson Jr Kimball,1,1,male,42,1,0,52.5542
Mr. Sahid Nakid,3,1,male,20,1,1,15.7417
Mr. Henry Damsgaard Hansen,3,0,male,21,0,0,7.8542
Mr. David John Bowen,3,0,male,21,0,0,16.1
Mr. Frederick Sutton,1,0,male,61,0,0,32.3208
Rev. Charles Leonard Kirkland,2,0,male,57,0,0,12.35
Miss. Gretchen Fiske Longley,1,1,female,21,0,0,77.9583
Mr. Guentcho Bostandyeff,3,0,male,26,0,0,7.8958
Mr. Patrick D O'Connell,3,0,male,18,0,0,7.7333
Mr. Algernon Henry Wilson Barkworth,1,1,male,80,0,0,30
Mr. Johan Svensson Lundahl,3,0,male,51,0,0,7.0542
Dr. Max Stahelin-Maeglin,1,1,male,32,0,0,30.5
Mr. William Henry Marsh Parr,1,0,male,30,0,0,0
Miss. Mabel Skoog,3,0,female,9,3,2,27.9
Miss. Mary Davis,2,1,female,28,0,0,13
Mr. Antti Gustaf Leinonen,3,0,male,32,0,0,7.925
Mr. Harvey Collyer,2,0,male,31,1,1,26.25
Mrs. Juha (Maria Emilia Ojala) Panula,3,0,female,41,0,5,39.6875
Mr. Percival Thorneycroft,3,0,male,37,1,0,16.1
Mr. Hans Peder Jensen,3,0,male,20,0,0,7.8542
Mlle. Emma Sagesser,1,1,female,24,0,0,69.3
Miss. Margit Elizabeth Skoog,3,0,female,2,3,2,27.9
Mr. Choong Foo,3,1,male,32,0,0,56.4958
Miss. Eugenie Baclini,3,1,female,0.75,2,1,19.2583
Mr. Henry Sleeper Harper,1,1,male,48,1,0,76.7292
Mr. Liudevit Cor,3,0,male,19,0,0,7.8958
Col. Oberst Alfons Simonius-Blumer,1,1,male,56,0,0,35.5
Mr. Edward Willey,3,0,male,21,0,0,7.55
Miss. Amy Zillah Elsie Stanley,3,1,female,23,0,0,7.55
Mr. Mito Mitkoff,3,0,male,23,0,0,7.8958
Miss. Elsie Doling,2,1,female,18,0,1,23
Mr. Johannes Halvorsen Kalvik,3,0,male,21,0,0,8.4333
Miss. Hanora O'Leary,3,1,female,16,0,0,7.8292
Miss. Hanora Hegarty,3,0,female,18,0,0,6.75
Mr. Leonard Mark Hickman,2,0,male,24,2,0,73.5
Mr. Alexander Radeff,3,0,male,27,0,0,7.8958
Mrs. John (Catherine) Bourke,3,0,female,32,1,1,15.5
Mr. George Floyd Eitemiller,2,0,male,23,0,0,13
Mr. Arthur Webster Newell,1,0,male,58,0,2,113.275
Dr. Henry William Frauenthal,1,1,male,50,2,0,133.65
Mr. Mohamed Badt,3,0,male,40,0,0,7.225
Mr. Edward Pomeroy Colley,1,0,male,47,0,0,25.5875
Mr. Peju Coleff,3,0,male,36,0,0,7.4958
Mr. Eino William Lindqvist,3,1,male,20,1,0,7.925
Mr. Lewis Hickman,2,0,male,32,2,0,73.5
Mr. Reginald Fenton Butler,2,0,male,25,0,0,13
Mr. Knud Paust Rommetvedt,3,0,male,49,0,0,7.775
Mr. Jacob Cook,3,0,male,43,0,0,8.05
Mrs. Elmer Zebley (Juliet Cummins Wright) Taylor,1,1,female,48,1,0,52
Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown,2,1,female,40,1,1,39
Mr. Thornton Davidson,1,0,male,31,1,0,52
Mr. Henry Michael Mitchell,2,0,male,70,0,0,10.5
Mr. Charles Wilhelms,2,1,male,31,0,0,13
Mr. Ennis Hastings Watson,2,0,male,19,0,0,0
Mr. Gustaf Hjalmar Edvardsson,3,0,male,18,0,0,7.775
Mr. Frederick Charles Sawyer,3,0,male,24.5,0,0,8.05
Miss. Anna Sofia Turja,3,1,female,18,0,0,9.8417
Mrs. Frederick (Augusta Tyler) Goodwin,3,0,female,43,1,6,46.9
Mr. Thomas Drake Martinez Cardeza,1,1,male,36,0,1,512.3292
Miss. Katie Peters,3,0,female,28,0,0,8.1375
Mr. Hammad Hassab,1,1,male,27,0,0,76.7292
Mr. Thor Anderson Olsvigen,3,0,male,20,0,0,9.225
Mr. Charles Edward Goodwin,3,0,male,14,5,2,46.9
Mr. Thomas William Solomon Brown,2,0,male,60,1,1,39
Mr. Joseph Philippe Lemercier Laroche,2,0,male,25,1,2,41.5792
Mr. Jaako Arnold Panula,3,0,male,14,4,1,39.6875
Mr. Branko Dakic,3,0,male,19,0,0,10.1708
Mr. Eberhard Thelander Fischer,3,0,male,18,0,0,7.7958
Miss. Georgette Alexandra Madill,1,1,female,15,0,1,211.3375
Mr. Albert Adrian Dick,1,1,male,31,1,0,57
Miss. Manca Karun,3,1,female,4,0,1,13.4167
Mr. Ali Lam,3,1,male,37,0,0,56.4958
Mr. Khalil Saad,3,0,male,25,0,0,7.225
Col. John Weir,1,0,male,60,0,0,26.55
Mr. Charles Henry Chapman,2,0,male,52,0,0,13.5
Mr. James Kelly,3,0,male,44,0,0,8.05
Miss. Katherine Mullens,3,1,female,19,0,0,7.7333
Mr. John Borland Thayer,1,0,male,49,1,1,110.8833
Mr. Adolf Mathias Nicolai Olsen Humblen,3,0,male,42,0,0,7.65
Mrs. John Jacob (Madeleine Talmadge Force) Astor,1,1,female,18,1,0,227.525
Mr. Spencer Victor Silverthorne,1,1,male,35,0,0,26.2875
Miss. Saiide Barbara,3,0,female,18,0,1,14.4542
Mr. Martin Gallagher,3,0,male,25,0,0,7.7417
Mr. Henrik Juul Hansen,3,0,male,26,1,0,7.8542
Mr. Henry Samuel Morley,2,0,male,39,0,0,26
Mrs. Florence Kelly,2,1,female,45,0,0,13.5
Mr. Edward Pennington Calderhead,1,1,male,42,0,0,26.2875
Miss. Alice Cleaver,1,1,female,22,0,0,151.55
Master. Halim Gonios Moubarek,3,1,male,4,1,1,15.2458
Mlle. Berthe Antonine Mayne,1,1,female,24,0,0,49.5042
Mr. Herman Klaber,1,0,male,41,0,0,26.55
Mr. Elmer Zebley Taylor,1,1,male,48,1,0,52
Mr. August Viktor Larsson,3,0,male,29,0,0,9.4833
Mr. Samuel Greenberg,2,0,male,52,0,0,13
Mr. Peter Andreas Lauritz Andersen Soholt,3,0,male,19,0,0,7.65
Miss. Caroline Louise Endres,1,1,female,38,0,0,227.525
Miss. Edwina Celia Troutt,2,1,female,27,0,0,10.5
Mr. Malkolm Joackim Johnson,3,0,male,33,0,0,7.775
Miss. Annie Jessie Harper,2,1,female,6,0,1,33
Mr. Svend Lauritz Jensen,3,0,male,17,1,0,7.0542
Mr. William Henry Gillespie,2,0,male,34,0,0,13
Mr. Henry Price Hodges,2,0,male,50,0,0,13
Mr. Norman Campbell Chambers,1,1,male,27,1,0,53.1
Mr. Luka Oreskovic,3,0,male,20,0,0,8.6625
Mrs. Peter Henry (Lillian Jefferys) Renouf,2,1,female,30,3,0,21
Miss. Margareth Mannion,3,1,female,28,0,0,7.7375
Mr. Kurt Arnold Gottfrid Bryhl,2,0,male,25,1,0,26
Miss. Pieta Sofia Ilmakangas,3,0,female,25,1,0,7.925
Miss. Elisabeth Walton Allen,1,1,female,29,0,0,211.3375
Mr. Houssein G N Hassan,3,0,male,11,0,0,18.7875
Mr. Robert J Knight,2,0,male,41,0,0,0
Mr. William John Berriman,2,0,male,23,0,0,13
Mr. Moses Aaron Troupiansky,2,0,male,23,0,0,13
Mr. Leslie Williams,3,0,male,28.5,0,0,16.1
Mrs. Edward (Margaret Ann Watson) Ford,3,0,female,48,1,3,34.375
Mr. Gustave J Lesurer,1,1,male,35,0,0,512.3292
Mr. Kanio Ivanoff,3,0,male,20,0,0,7.8958
Mr. Minko Nankoff,3,0,male,32,0,0,7.8958
Mr. Walter James Hawksford,1,1,male,45,0,0,30
Mr. Tyrell William Cavendish,1,0,male,36,1,0,78.85
Miss. Susan Parker Ryerson,1,1,female,21,2,2,262.375
Mr. Neal McNamee,3,0,male,24,1,0,16.1
Mr. Juho Stranden,3,1,male,31,0,0,7.925
Capt. Edward Gifford Crosby,1,0,male,70,1,1,71
Mr. Rossmore Edward Abbott,3,0,male,16,1,1,20.25
Miss. Anna Sinkkonen,2,1,female,30,0,0,13
Mr. Daniel Warner Marvin,1,0,male,19,1,0,53.1
Mr. Michael Connaghton,3,0,male,31,0,0,7.75
Miss. Joan Wells,2,1,female,4,1,1,23
Master. Meier Moor,3,1,male,6,0,1,12.475
Mr. Johannes Joseph Vande Velde,3,0,male,33,0,0,9.5
Mr. Lalio Jonkoff,3,0,male,23,0,0,7.8958
Mrs. Samuel (Jane Laver) Herman,2,1,female,48,1,2,65
Master. Viljo Hamalainen,2,1,male,0.67,1,1,14.5
Mr. August Sigfrid Carlsson,3,0,male,28,0,0,7.7958
Mr. Percy Andrew Bailey,2,0,male,18,0,0,11.5
Mr. Thomas Leonard Theobald,3,0,male,34,0,0,8.05
the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes,1,1,female,33,0,0,86.5
Mr. John Garfirth,3,0,male,23,0,0,14.5
Mr. Iisakki Antino Aijo Nirva,3,0,male,41,0,0,7.125
Mr. Hanna Assi Barah,3,1,male,20,0,0,7.2292
Mrs. William Ernest (Lucile Polk) Carter,1,1,female,36,1,2,120
Mr. Hans Linus Eklund,3,0,male,16,0,0,7.775
Mrs. John C (Anna Andrews) Hogeboom,1,1,female,51,1,0,77.9583
Dr. Arthur Jackson Brewe,1,0,male,46,0,0,39.6
Miss. Mary Mangan,3,0,female,30.5,0,0,7.75
Mr. Daniel J Moran,3,0,male,28,1,0,24.15
Mr. Daniel Danielsen Gronnestad,3,0,male,32,0,0,8.3625
Mr. Rene Aime Lievens,3,0,male,24,0,0,9.5
Mr. Niels Peder Jensen,3,0,male,48,0,0,7.8542
Mrs. (Mary) Mack,2,0,female,57,0,0,10.5
Mr. Dibo Elias,3,0,male,29,0,0,7.225
Mrs. Elizabeth (Eliza Needs) Hocking,2,1,female,54,1,3,23
Mr. Pehr Fabian Oliver Malkolm Myhrman,3,0,male,18,0,0,7.75
Mr. Roger Tobin,3,0,male,20,0,0,7.75
Miss. Virginia Ethel Emanuel,3,1,female,5,0,0,12.475
Mr. Thomas J Kilgannon,3,0,male,22,0,0,7.7375
Mrs. Edward Scott (Elisabeth Walton McMillan) Robert,1,1,female,43,0,1,211.3375
Miss. Banoura Ayoub,3,1,female,13,0,0,7.2292
Mrs. Albert Adrian (Vera Gillespie) Dick,1,1,female,17,1,0,57
Mr. Milton Clyde Long,1,0,male,29,0,0,30
Mr. Andrew G Johnston,3,0,male,35,1,2,23.45
Mr. William Ali,3,0,male,25,0,0,7.05
Mr. Abraham (David Lishin) Harmer,3,0,male,25,0,0,7.25
Miss. Anna Sofia Sjoblom,3,1,female,18,0,0,7.4958
Master. George Hugh Rice,3,0,male,8,4,1,29.125
Master. Bertram Vere Dean,3,1,male,1,1,2,20.575
Mr. Benjamin Guggenheim,1,0,male,46,0,0,79.2
Mr. Andrew Keane,3,0,male,20,0,0,7.75
Mr. Alfred Gaskell,2,0,male,16,0,0,26
Miss. Stella Anna Sage,3,0,female,21,8,2,69.55
Mr. William Fisher Hoyt,1,0,male,43,0,0,30.6958
Mr. Ristiu Dantcheff,3,0,male,25,0,0,7.8958
Mr. Richard Otter,2,0,male,39,0,0,13
Dr. Alice (Farnham) Leader,1,1,female,49,0,0,25.9292
Mrs. Mara Osman,3,1,female,31,0,0,8.6833
Mr. Yousseff Ibrahim Shawah,3,0,male,30,0,0,7.2292
Mrs. Jean Baptiste (Rosalie Paula Govaert) Van Impe,3,0,female,30,1,1,24.15
Mr. Martin Ponesell,2,0,male,34,0,0,13
Mrs. Harvey (Charlotte Annie Tate) Collyer,2,1,female,31,1,1,26.25
Master. William Thornton II Carter,1,1,male,11,1,2,120
Master. Assad Alexander Thomas,3,1,male,0.42,0,1,8.5167
Mr. Oskar Arvid Hedman,3,1,male,27,0,0,6.975
Mr. Karl Johan Johansson,3,0,male,31,0,0,7.775
Mr. Thomas Jr Andrews,1,0,male,39,0,0,0
Miss. Ellen Natalia Pettersson,3,0,female,18,0,0,7.775
Mr. August Meyer,2,0,male,39,0,0,13
Mrs. Norman Campbell (Bertha Griggs) Chambers,1,1,female,33,1,0,53.1
Mr. William Alexander,3,0,male,26,0,0,7.8875
Mr. James Lester,3,0,male,39,0,0,24.15
Mr. Richard James Slemen,2,0,male,35,0,0,10.5
Miss. Ebba Iris Alfrida Andersson,3,0,female,6,4,2,31.275
Mr. Ernest Portage Tomlin,3,0,male,30.5,0,0,8.05
Mr. Richard Fry,1,0,male,39,0,0,0
Miss. Wendla Maria Heininen,3,0,female,23,0,0,7.925
Mr. Albert Mallet,2,0,male,31,1,1,37.0042
Mr. John Fredrik Alexander Holm,3,0,male,43,0,0,6.45
Master. Karl Thorsten Skoog,3,0,male,10,3,2,27.9
Mrs. Charles Melville (Clara Jennings Gregg) Hays,1,1,female,52,1,1,93.5
Mr. Nikola Lulic,3,1,male,27,0,0,8.6625
Jonkheer. John George Reuchlin,1,0,male,38,0,0,0
Mrs. (Beila) Moor,3,1,female,27,0,1,12.475
Master. Urho Abraham Panula,3,0,male,2,4,1,39.6875
Mr. John Flynn,3,0,male,36,0,0,6.95
Mr. Len Lam,3,0,male,23,0,0,56.4958
Master. Andre Mallet,2,1,male,1,0,2,37.0042
Mr. Thomas Joseph McCormack,3,1,male,19,0,0,7.75
Mrs. George Nelson (Martha Evelyn) Stone,1,1,female,62,0,0,80
Mrs. Antoni (Selini Alexander) Yasbeck,3,1,female,15,1,0,14.4542
Master. George Sibley Richards,2,1,male,0.83,1,1,18.75
Mr. Amin Saad,3,0,male,30,0,0,7.2292
Mr. Albert Augustsson,3,0,male,23,0,0,7.8542
Mr. Owen George Allum,3,0,male,18,0,0,8.3
Miss. Sara Rebecca Compton,1,1,female,39,1,1,83.1583
Mr. Jakob Pasic,3,0,male,21,0,0,8.6625
Mr. Maurice Sirota,3,0,male,20,0,0,8.05
Mr. Chang Chip,3,1,male,32,0,0,56.4958
Mr. Pierre Marechal,1,1,male,29,0,0,29.7
Mr. Ilmari Rudolf Alhomaki,3,0,male,20,0,0,7.925
Mr. Thomas Charles Mudd,2,0,male,16,0,0,10.5
Miss. Augusta Serepeca,1,1,female,30,0,0,31
Mr. Peter L Lemberopolous,3,0,male,34.5,0,0,6.4375
Mr. Jeso Culumovic,3,0,male,17,0,0,8.6625
Mr. Anthony Abbing,3,0,male,42,0,0,7.55
Mr. Douglas Bullen Sage,3,0,male,18,8,2,69.55
Mr. Marin Markoff,3,0,male,35,0,0,7.8958
Rev. John Harper,2,0,male,28,0,1,33
Mrs. Samuel L (Edwiga Grabowska) Goldenberg,1,1,female,40,1,0,89.1042
Master. Sigvard Harald Elias Andersson,3,0,male,4,4,2,31.275
Mr. Johan Svensson,3,0,male,74,0,0,7.775
Miss. Nourelain Boulos,3,0,female,9,1,1,15.2458
Miss. Mary Conover Lines,1,1,female,16,0,1,39.4
Mrs. Ernest Courtenay (Lilian Hughes) Carter,2,0,female,44,1,0,26
Mrs. Sam (Leah Rosen) Aks,3,1,female,18,0,1,9.35
Mrs. George Dennick (Mary Hitchcock) Wick,1,1,female,45,1,1,164.8667
Mr. Peter Denis Daly,1,1,male,51,0,0,26.55
Mrs. Solomon (Latifa Qurban) Baclini,3,1,female,24,0,3,19.2583
Mr. Raihed Razi,3,0,male,30,0,0,7.2292
Mr. Claus Peter Hansen,3,0,male,41,2,0,14.1083
Mr. Frederick Edward Giles,2,0,male,21,1,0,11.5
Mrs. Frederick Joel (Margaret Welles Barron) Swift,1,1,female,48,0,0,25.9292
Miss. Dorothy Edith Sage,3,0,female,14,8,2,69.55
Mr. John William Gill,2,0,male,24,0,0,13
Mrs. (Karolina) Bystrom,2,1,female,42,0,0,13
